area_cm2,diameter_cm,perimeter_cm,circularity,estimated_volume_cm3,mean_hue,mean_saturation,mean_value,fruit_id,juice_ml
4.738548483045806,4.003349490282012,9.90895183202697,0.6064566434995226,33.594574022063924,103.19051121735933,103.34681868333946,122.48657594703936,CAL_171,2.8
3.8944080904223677,3.905491526533918,9.579324553652507,0.5333122352735172,31.190743120819192,102.72362555720653,110.86359583952452,115.5074294205052,CAL_172,3.0
0.6079714455681142,1.0480640690501144,3.310734501699122,0.6970185507527792,0.6027845593016566,82.60110803324099,160.792243767313,29.002770083102494,CAL_173,2.4
0.5797144556811422,0.9960741182652916,2.9229419464018287,0.8526751655685026,0.517456193280992,87.68221574344024,189.53935860058309,33.07871720116618,CAL_174,2.0
4.906305770374777,3.9872689596036586,9.94936291764422,0.6228363191049329,33.19137298886241,104.02583244460244,118.49472686337243,122.53940040289133,CAL_175,3.2
0.6183819155264724,1.083603091356231,3.2762414914805715,0.7239604342325772,0.6662072097154842,70.86090909090909,144.66181818181818,43.24181818181818,CAL_176,3.0
0.6763831052944675,1.083382024997618,3.087037595306955,0.8919053682957793,0.6657995531870731,70.93964794635373,156.487845766974,39.85414920368818,CAL_177,3.4
0.8441403926234384,10.512907446884528,21.211142784211695,0.023577427122104224,608.3690970175212,52.53559870550162,105.75080906148867,34.90291262135922,CAL_178,2.8
0.6038072575847709,1.020003714212557,2.920490610890272,0.8896036657243444,0.5556532794532305,74.3998127340824,112.80992509363296,38.68071161048689,CAL_179,2.8
0.6995835812016656,1.1053437954042016,3.1643930324694005,0.877947674642197,0.7071161488778818,70.75850891410049,140.32820097244732,36.1645056726094,CAL_180,3.4
31.20582986317668,9.819103706173781,25.84048859375279,0.5872785762964499,495.6945717905574,105.11463884794195,100.58024341384133,196.81080621385644,CAL_181,1.8
31.187388459250446,9.596566549161585,24.532030977853914,0.6512112054706273,462.7498219730981,108.34237794501381,108.0040842567031,159.86104072911544,CAL_182,2.4
0.5975609756097561,0.996073653058308,2.894366985414086,0.8963650193048304,0.5174554682622872,68.41209829867675,136.45841209829868,38.613421550094515,CAL_183,3.0
0.6329565734681737,1.0101443965260575,3.0180515661472227,0.8732336575480313,0.5396957517436006,74.68275245755139,137.5058087578195,36.23771224307417,CAL_184,2.4
0.6442593694229625,1.0151210877953507,2.997846030607456,0.9008489143279506,0.5477118933854753,77.20210896309315,157.10896309314586,31.54481546572935,CAL_185,2.8
3.654967281380131,3.2549832972084602,8.318385920873503,0.6637663433808138,18.056971615353394,108.04963526799874,86.68902632413574,126.31208372978116,CAL_186,3.2
4.235276621058894,3.700415634527439,9.177244552751867,0.6319271799092062,26.53078767316122,101.20381030701755,93.66913377192982,112.78193530701755,CAL_187,3.0
5.658834027364664,4.1386633151915015,10.339606817175703,0.6651640545345276,37.117516889914064,108.12654448105437,86.17215815485997,125.9688014827018,CAL_188,3.8
0.6198691255205235,1.07566712542278,3.1358180772967454,0.7921513204766331,0.6516768747876922,73.8098271155596,158.368516833485,31.500454959053684,CAL_189,2.5
0.6876859012492564,1.1658993232540968,3.5176925659179688,0.6983678251296414,0.8298159399700511,74.62868852459016,150.90737704918033,34.58032786885246,CAL_190,2.6
0.9033313503866746,1.775641464605564,4.371053733476779,0.5941343419866956,2.931328270890468,99.52864259028642,91.50373599003736,106.39165628891656,CAL_191,3.6
0.8491969066032123,1.905100008336509,4.557806273786033,0.5136964253762677,3.620361677167846,77.67193675889328,121.16205533596838,75.38142292490119,CAL_192,2.4
2.0669244497323023,5.022263317573361,10.931311354404542,0.21736516129307903,66.3280240320232,100.30644288034651,85.36843530048728,109.56469951272334,CAL_193,3.6
1.190957763236169,2.1444052719488376,5.177665140570664,0.5582623052453307,5.163203245735831,96.058432304038,87.66080760095012,102.07030878859858,CAL_194,2.2
0.8152885187388459,1.805871358731898,4.273492766589653,0.5609901603884422,3.083607211246676,98.89010989010988,77.78708791208791,107.87293956043956,CAL_195,3.8
1.0169541939321831,2.1142325052400914,4.996830664029935,0.5118255850790501,4.948309541538966,106.12106135986733,74.18352681039248,121.21503593145384,CAL_196,3.2
0.7388459250446163,1.1591979236137577,3.253584600076443,0.8770806677956412,0.8155890867748901,61.65641813989239,163.7217524980784,43.48347425057648,CAL_197,3.3
3.3438429506246283,6.8098204077743905,14.733738056043299,0.19356634379709697,165.35053261250206,103.43890485043096,74.68717255365895,112.41676525266182,CAL_198,1.8
0.6582391433670435,1.0709559742997332,3.0525445996261222,0.8877067712460709,0.6431517800175709,68.46127366609295,152.6368330464716,35.57487091222031,CAL_199,2.8
0.7070196311719215,7.099074945217225,14.416367504654861,0.04274936290949739,187.32852152383626,38.03099730458221,150.45619946091645,22.63342318059299,CAL_200,3.4
1.6008328375966687,12.464589188738566,25.211142784211695,0.03164978646267473,1013.9873354466467,48.63466334164588,118.91988778054863,26.763715710723194,CAL_201,3.4
0.6505056513979774,1.0690100134872809,3.190516637592781,0.8030432025984328,0.6396522651956472,66.52476107732407,141.79322328410078,31.815812337098176,CAL_202,2.8
0.6070791195716835,1.0273200244438359,3.4629940201596514,0.6361384936970786,0.567696063291722,70.91328413284133,156.32564575645756,30.42619926199262,CAL_203,3.0
47.261154074955385,12.597867640053353,32.16149992186849,0.574171453925018,1046.8627472011879,103.75518724063797,70.20465226738663,155.48353832308385,CAL_204,3.2
0.517846519928614,0.8538377343154535,2.719450578456972,0.8799309315933832,0.32593023842086394,46.654347826086955,180.66304347826087,50.69347826086957,CAL_205,2.0
0.6070791195716835,0.9621064721084223,2.9549836065711044,0.8736651405070015,0.46630280809924574,43.783054003724395,163.37243947858474,42.66294227188082,CAL_206,1.8
